"ID","MonthlyIncome"
871,5869.5695531738
872,2233.96738128795
873,14423.6804998902
874,2352.15496586745
875,1624.30372188322
876,7039.61182837436
877,5455.98719178985
878,2026.06400431227
879,1991.34903323048
880,14833.0437684981
881,11146.0991219859
882,2419.76088971352
883,6176.19495706952
884,6082.1840266907
885,6760.47186290769
886,6111.52800050116
887,5587.84167687801
888,6274.77219283425
889,5902.76442616064
890,2241.27689968278
891,5816.12427607474
892,9432.99813372361
893,9381.91563830115
894,5837.95389847444
895,11084.3612122714
896,9744.77819215002
897,10183.7713577017
898,13987.567604401
899,5857.33105760622
900,2200.23728146483
901,2458.27296993409
902,6641.83521860445
903,6312.1103428445
904,2920.56815935165
905,14643.3806368466
906,5838.25495788193
907,10651.20664423
908,5948.85831925561
909,2013.93133737302
910,1993.34058066474
911,17984.5055812631
912,2214.24797602206
913,2562.09364881966
914,9832.6518010489
915,6047.4351458059
916,5825.3302891844
917,2283.13427188809
918,5779.59669497041
919,1911.49681843663
920,2879.63201923007
921,2024.48587529194
922,2025.33927845433
923,6326.65520341589
924,6258.78705349846
925,15258.7913263371
926,2127.63381246582
927,5947.11997015912
928,9803.15596037675
929,1898.46280143317
930,2117.98792968376
931,6106.56581579821
932,9781.49827957965
933,9918.47264384392
934,1862.08123130488
935,2432.46721535557
936,2283.25176385805
937,10474.6441541592
938,10365.5858864136
939,6271.39803889173
940,2349.19795639912
941,2999.83429907639
942,9681.55414598928
943,10484.7958237696
944,6161.83914479049
945,1665.40611771136
946,6169.7418984801
947,2097.0397357011
948,2009.85865481932
949,2353.88451797156
950,5669.11876061955
951,2393.6857839402
952,5635.32675479308
953,6155.35745357531
954,2220.10938897045
955,6038.54701223966
956,9502.35203368524
957,11560.6632730088
958,1671.08254704549
959,10495.9826434196
960,18957.8997013146
961,2008.2744230345
962,5750.93472919594
963,6554.62205604754
964,6379.91018691538
965,1745.54232739653
966,18236.7057344001
967,1637.67617917019
968,10022.7173219637
969,15375.6060244024
970,2191.98300418018
971,5593.23914253914
972,5887.19417017151
973,2126.92785808844
974,1868.93867861396
975,5670.17050967222
976,1835.93656849443
977,6886.72130392933
978,1832.37460104522
979,9342.2533757611
980,18440.2679934126
981,1937.15751403994
982,10269.2580764505
983,2110.11164868988
984,2275.05350794292
985,6012.25131869815
986,2563.26102462478
987,1940.17413771125
988,5818.70724673968
989,9968.71601593547
990,2022.96542502865
991,6066.57449294163
992,2182.22425400364
993,6253.94938778778
994,6070.04701753883
995,5665.66972295675
996,6302.13733202512
997,2000.87598694908
998,14831.9855565983
999,9554.2339885848
1000,1872.50980497474
1001,6715.73186504336
1002,6138.31531427758
1003,6057.60782787494
1004,7025.06105789978
1005,2090.38107271599
1006,6024.8411991651
1007,2221.06644893563
1008,5794.08307398014
1009,18270.1842918347
1010,6272.49500757767
1011,10644.6032643924
1012,6488.28203417331
1013,5823.59090461993
1014,6076.56675993108
1015,5920.67996090718
1016,1858.36422491627
1017,2012.86892886319
1018,9720.09346891284
1019,9961.72916809551
1020,2079.94128372655
1021,5907.76655150417
1022,6171.21736643022
1023,5652.60745912495
1024,10875.6455377454
1025,13968.9479575862
1026,17977.8626447077
1027,6368.88779873127
1028,5705.2217861293
1029,6079.79288707298
1030,10681.6547959407
1031,5902.21488592012
1032,2211.39916767649
1033,9456.12377784941
1034,2098.49319615701
1035,5758.19830976259
1036,1789.839670173
1037,5569.09300513351
1038,10084.0944558844
1039,9669.73511403728
1040,6034.81424969895
1041,1492.82678270356
1042,2104.21101059131
1043,10025.383371693
1044,6380.69884967477
1045,1927.42426839061
1046,2183.87978110648
1047,5815.6430062914
1048,9574.02900916313
1049,1847.7150542966
1050,5832.38757209145
1051,11154.9166852293
1052,1844.44258769853
1053,5959.98290532096
1054,2315.00766793612
1055,2173.84743632927
1056,2522.79301484555
1057,6222.20880218404
1058,13710.2764913664
1059,6646.70999499462
1060,2414.77586376121
1061,6241.40450507299
1062,6092.95317162202
1063,6338.08346084496
1064,1957.9906410568
1065,6010.99418833257
1066,2219.42906001303
1067,3369.1394054255
1068,18575.6251467837
1069,5718.13404918843
1070,1879.66229695226
1071,2282.49827008273
1072,5999.40411167371
1073,1916.66329555005
1074,5962.19714689166
1075,5766.17195309086
1076,14492.5871916983
1077,18001.3363346083
1078,5894.19340663034
1079,5924.73971532333
1080,6557.22103707291
1081,2310.16922021569
1082,1960.6355555383
1083,2134.32945276506
1084,6162.83776435318
1085,8990.68124858029
1086,9795.22209605732
1087,6258.33679282944
1088,2231.1686409712
1089,2131.83810011543
1090,5487.76163911004
1091,5460.64479396077
1092,5715.76379690201
1093,9529.4762038236
1094,5666.24288330445
1095,5959.36860416373
1096,6089.98597985142
1097,3122.32200832629
1098,1954.4460792714
1099,2163.96109347274
1100,5841.01272898192
1101,17593.4876921757
1102,5916.89954491633
1103,6200.22394580349
1104,11824.4515199357
1105,2603.76119558851
1106,2360.25820397124
1107,2268.72633475058
1108,6110.8835213436
1109,5374.60705255696
1110,5851.54116581054
1111,6077.04998306827
1112,10123.3182729044
1113,9803.09740328515
1114,6746.26941424388
1115,10293.4877628139
1116,2274.82618448621
1117,6850.14573491327
1118,5917.42134088269
1119,10698.4889651912
1120,2140.82858916331
1121,10204.0749810927
1122,15281.4774148562
1123,5782.36526697865
1124,14135.2307363879
1125,2067.85773466957
1126,1910.31237488085
1127,2486.9106897188
1128,5636.08156841751
1129,14377.1279468596
1130,2124.48988098511
1131,9882.30643780637
1132,14187.5359574649
1133,6177.86477707921
1134,1858.4419377952
1135,2423.72397060572
1136,2421.37265889243
1137,2866.24304078825
1138,6082.89351007764
1139,10002.6384485123
1140,13091.2467260698
1141,5545.03224055185
1142,6020.09921247958
1143,10633.4179878659
1144,5907.07192688257
1145,6499.24105698554
1146,5692.27961828367
1147,5891.99640060189
1148,2239.04749737437
1149,2306.03633160204
1150,6077.09999764936
1151,1887.49532930029
1152,5860.48841538897
1153,6509.48314730823
1154,1804.13082799048
1155,5827.44938821733
1156,14601.9324074268
1157,2385.66048130327
1158,6734.34811394191
1159,1835.00265333188
1160,5992.74242094878
1161,1951.95016656219
1162,10064.292930471
1163,1685.80355086241
1164,10196.4167055944
1165,1965.47138365011
1166,1639.73335712904
1167,10095.3223357554
1168,5730.17270121791
1169,2276.52234134266
1170,1940.32122793343
